Fecha\T¡tulo,CETES (Miles de Pesos),BONDES,BONDES D,BONOS,UDIBONOS
Ene 1985,0.994601,0,0,0,0
Feb 1985,1.023907,0,0,0,0
Mar 1985,1.195681,0,0,0,0
Abr 1985,1.52157,0,0,0,0
May 1985,1.62947,0,0,0,0
Jun 1985,1.701706,0,0,0,0
Jul 1985,1.798938,0,0,0,0
Ago 1985,2.252509,0,0,0,0
Sep 1985,2.72668,0,0,0,0
Oct 1985,2.854695,0,0,0,0
Nov 1985,2.708537,0,0,0,0
Dic 1985,2.36032,0,0,0,0
Ene 1986,2.48728813,0,0,0,0
Feb 1986,2.588965,0,0,0,0
Mar 1986,2.875404,0,0,0,0
Abr 1986,3.65611,0,0,0,0
May 1986,4.131567,0,0,0,0
Jun 1986,4.222903,0,0,0,0
Jul 1986,4.734053,0,0,0,0
Ago 1986,5.248505,0,0,0,0
Sep 1986,6.086889,0,0,0,0
Oct 1986,6.7694,0,0,0,0
Nov 1986,7.6139,0,0,0,0
Dic 1986,8.1847,0,0,0,0
Ene 1987,9.4942,0,0,0,0
Feb 1987,10.8103,0,0,0,0
Mar 1987,11.8198,0,0,0,0
Abr 1987,13.0034,0,0,0,0
May 1987,14.362,0,0,0,0
Jun 1987,16.0621,0,0,0,0
Jul 1987,17.899403,0,0,0,0
Ago 1987,19.7843,0,0,0,0
Sep 1987,21.1726,0,0,0,0
Oct 1987,21.6582,0.149057,0,0,0
Nov 1987,23.482908,0.337097,0,0,0
Dic 1987,28.005508,0.3584935,0,0,0
Ene 1988,28.188608,0.5610909,0,0,0
Feb 1988,31.001408,0.99846,0,0,0
Mar 1988,33.987508,2.16696,0,0,0
Abr 1988,37.224248,3.02478559,0,0,0
May 1988,36.72613,4.96482213,0,0,0
Jun 1988,37.129767,6.476894,0,0,0
Jul 1988,37.432471,6.816437,0,0,0
Ago 1988,39.467468,7.352775,0,0,0
Sep 1988,39.561395,8.715677,0,0,0
Oct 1988,38.548345,11.552964,0,0,0
Nov 1988,47.946147,14.421147,0,0,0
Dic 1988,42.877671,20.185738,0,0,0
Ene 1989,43.491354,25.147626,0,0,0
Feb 1989,44.216816,28.937904,0,0,0
Mar 1989,54.04653,32.14736,0,0,0
