Fecha/T°tulo,"T°tulos de deuda emitidos en el mercado local 1/, Residentes, Gobierno General, Por plazo original, Corto plazo ","T°tulos de deuda emitidos en el mercado local 1/, Residentes, Gobierno General, Por plazo original, Largo plazo ","T°tulos de deuda emitidos en el mercado local 1/, Residentes, Gobierno General, Por plazo remanente, Corto plazo","T°tulos de deuda emitidos en el mercado local 1/, Residentes, Gobierno General, Por plazo remanente, Largo plazo",?PÈBLICA TOTAL PLAZO ORIGINAL CORTO PLAZO,?PÈBLICA TOTAL PLAZO ORIGINAL LARGO PLAZO,?PÈBLICA TOTAL PLAZO REMANENTE CORTO PLAZO,?PÈBLICA TOTAL PLAZO REMANENTE LARGO PLAZO
Jun 2009,474.8,"2,201.7",723.1,"1,953.3",,,,
Jul 2009,489.6,"2,236.0",730.8,"1,994.8",3.117101938,1.557887087,1.064859632,2.124609635
Ago 2009,508.9,"2,239.1",782.9,"1,965.2",3.941993464,0.138640429,7.129173508,-1.483858031
Sep 2009,517.7,"2,272.2",791.7,"1,998.2",1.729219886,1.47827252,1.124026057,1.6792184
Oct 2009,532.1,"2,263.0",774.5,"2,020.6",2.781533707,-0.404893935,-2.172540104,1.121008908
Nov 2009,530.4,"2,294.5",772.8,"2,052.1",-0.319488818,1.391957578,-0.219496449,1.558942888
Dic 2009,519.0,"2,228.2",798.2,"1,948.9",-2.149321267,-2.889518414,3.286749482,-5.028994688
Ene 2010,511.8,"2,247.8",801.2,"1,958.4",-1.387283237,0.879633785,0.375845653,0.487454461
Feb 2010,514.6,"2,293.5",798.9,"2,009.2",0.547088707,2.03309903,-0.287069396,2.593954248
Mar 2010,523.7,"2,360.3",817.1,"2,066.9",1.768363778,2.912579028,2.278132432,2.871789767
Abr 2010,538.8,"2,377.9",816.4,"2,100.3",2.883330151,0.745667924,-0.085668829,1.615946587
May 2010,529.4,"2,399.5",807.2,"2,121.7",-1.744617669,0.908364523,-1.126898579,1.018902062
Jun 2010,546.0,"2,409.7",863.7,"2,092.0",3.135625236,0.42508856,6.99950446,-1.399820898
Jul 2010,512.6,"2,468.9",848.5,"2,132.9",-6.117216117,2.456737353,-1.759870325,1.955066922
Ago 2010,502.0,"2,437.2",791.3,"2,147.9",-2.067889192,-1.283972619,-6.741308191,0.703267851
Sep 2010,508.6,"2,483.2",804.0,"2,187.9",1.314741036,1.887411784,1.604953873,1.862284091
Oct 2010,472.0,"2,496.4",763.4,"2,205.0",-7.196224931,0.531572165,-5.049751244,0.78157137
Nov 2010,462.9,"2,549.6",754.1,"2,258.3",-1.927966102,2.131068739,-1.218234215,2.41723356
Dic 2010,565.1,"2,486.5",889.6,"2,161.9",22.07820264,-2.474898023,17.9684392,-4.268697693
Ene 2011,571.0,"2,505.2",876.4,"2,199.8",1.044062998,0.75206113,-1.48381295,1.753087562
Feb 2011,543.8,"2,575.0",852.7,"2,266.1",-4.76357268,2.786204694,-2.704244637,3.013910355
Mar 2011,544.9,"2,639.4",846.9,"2,337.4",0.20228025,2.500970874,-0.68019233,3.146374829
Abr 2011,548.4,"2,694.2",856.5,"2,386.0",0.642319692,2.076229446,1.133545873,2.079233336
May 2011,570.3,"2,747.7",872.4,"2,445.6",3.993435449,1.985747161,1.856392294,2.497904443
Jun 2011,643.7,"2,776.8","1,056.8","2,363.7",12.87041908,1.059067584,21.13709308,-3.348871443
Jul 2011,641.8,"2,837.6","1,021.4","2,458.0",-0.295168557,2.189570729,-3.349735049,3.989507975
Ago 2011,650.6,"2,900.9","1,038.6","2,512.9",1.371143658,2.230758387,1.683963188,2.23352319
Sep 2011,641.9,"2,987.6","1,023.9","2,605.6",-1.337227175,2.988727636,-1.41536684,3.688964941
Oct 2011,673.3,"3,042.7","1,049.4","2,666.6",4.891727683,1.844289731,2.490477586,2.341111452
Nov 2011,681.8,"3,105.2","1,067.7","2,719.3",1.262438735,2.05409669,1.743853631,1.976299407
Dic 2011,705.6,"3,055.1","1,101.1","2,659.6",3.490759754,-1.613422646,3.128219537,-2.195417938
Ene 2012,717.7,"3,113.1","1,104.1","2,726.7",1.714852608,1.898464862,0.272454818,2.52293578
Feb 2012,721.4,"3,179.1","1,107.5","2,793.1",0.515535739,2.120073239,0.307943121,2.435178054
Mar 2012,735.4,"3,250.1","1,132.9","2,852.5",1.940670918,2.233336479,2.293453725,2.126669292
Abr 2012,749.3,"3,307.4","1,130.1","2,926.6",1.890127822,1.763022676,-0.247153323,2.597721297
May 2012,753.1,"3,376.4","1,145.7","2,983.8",0.507139997,2.086230876,1.380408813,1.954486435
Jun 2012,845.9,"3,290.7","1,174.8","2,961.8",12.32240074,-2.538206374,2.539931919,-0.737314833
Jul 2012,857.6,"3,364.1","1,199.5","3,022.2",1.383142215,2.230528459,2.102485529,2.039300425
Ago 2012,857.8,"3,415.1","1,183.7","3,089.2",0.023320896,1.516007253,-1.317215506,2.216928066
Sep 2012,849.5,"3,501.7","1,199.5","3,151.6",-0.967591513,2.535796902,1.334797668,2.019940438
Oct 2012,831.1,"3,546.2","1,167.2","3,210.2",-2.165979988,1.27081132,-2.692788662,1.859373017
Nov 2012,837.0,"3,630.6","1,181.3","3,286.2",0.709902539,2.380012408,1.208019191,2.367453741
Dic 2012,822.6,"3,548.7","1,191.5","3,179.8",-1.720430108,-2.255825483,0.863455515,-3.237782241
Ene 2013,843.5,"3,623.2","1,226.3","3,240.3",2.540724532,2.099360329,2.920688208,1.902635386
Feb 2013,825.2,"3,712.5","1,207.8","3,329.9",-2.169531713,2.464672113,-1.508603115,2.765176064
Mar 2013,841.8,"3,764.3","1,241.1","3,365.1",2.011633543,1.395286195,2.757078987,1.057088801
Abr 2013,844.4,"3,838.6","1,243.1","3,439.9",0.308861962,1.973806551,0.161147369,2.222816558
May 2013,841.2,"3,911.3","1,253.1","3,499.4",-0.378967314,1.893919658,0.804440512,1.729701445
Jun 2013,860.3,"3,899.6","1,250.8","3,509.1",2.270565858,-0.29913328,-0.183544809,0.277190375
Jul 2013,846.5,"3,906.5","1,249.0","3,504.0",-1.604091596,0.176941225,-0.143907899,-0.145336411
Ago 2013,835.9,"4,010.4","1,237.1","3,609.2",-1.252215003,2.659669781,-0.95276221,3.002283105
Sep 2013,835.0,"4,043.1","1,240.2","3,637.9",-0.107668381,0.815380012,0.250586048,0.79519007
Oct 2013,811.0,"4,123.3","1,218.5","3,715.8",-2.874251497,1.983626425,-1.749717787,2.141345282
Nov 2013,821.7,"4,179.6","1,229.8","3,771.5",1.319358816,1.3654112,0.927369717,1.499004252
Dic 2013,964.0,"4,086.8","1,437.7","3,613.1",17.31775587,-2.220308163,16.90518784,-4.199920456
Ene 2014,944.4,"4,164.5","1,419.9","3,689.0",-2.033195021,1.901243026,-1.238088614,2.100689159
Feb 2014,967.5,"4,226.1","1,441.7","3,751.8",2.445997459,1.479169168,1.535319389,1.702358363
Mar 2014,955.9,"4,313.7","1,422.4","3,847.1",-1.198966408,2.072833109,-1.338697371,2.540114079
Abr 2014,932.2,"4,394.9","1,445.5","3,881.6",-2.479338843,1.882374759,1.624015748,0.896779392
May 2014,946.6,"4,424.1","1,456.2","3,914.6",1.54473289,0.664406471,0.740228295,0.85016488
Jun 2014,959.8,"4,450.9","1,494.6","3,916.1",1.394464399,0.605772926,2.637000412,0.038318091
Jul 2014,978.6,"4,508.1","1,505.2","3,981.5",1.958741404,1.285133344,0.709219858,1.670028855
Ago 2014,914.7,"4,570.7","1,493.6","3,991.8",-6.529736358,1.38861161,-0.770661706,0.258696471
Sep 2014,932.3,"4,614.7","1,509.1","4,037.9",1.924128129,0.962653423,1.037761114,1.154867478
Oct 2014,964.2,"4,669.5","1,532.0","4,101.7",3.421645393,1.187509481,1.517460738,1.580029223
Nov 2014,"1,030.9","4,738.6","1,577.6","4,191.8",6.917651939,1.479815826,2.976501305,2.196650169
Dic 2014,"1,020.7","4,652.8","1,460.4","4,213.1",-0.989426715,-1.810661377,-7.429006085,0.50813493
Ene 2015,"1,016.1","4,692.6","1,448.4","4,260.3",-0.450671108,0.8553989,-0.821692687,1.120315207
Feb 2015,"1,010.2","4,767.0","1,458.8","4,318.5",-0.580651511,1.585475003,0.718033692,1.366100979
Mar 2015,"1,039.5","4,833.8","1,499.0","4,374.4",2.900415759,1.401300608,2.755689608,1.294430937
Abr 2015,"1,038.8","4,864.8","1,459.1","4,444.5",-0.067340067,0.64131739,-2.661774516,1.602505486
