Fecha\T¡tulo,CETES (Miles de Pesos),BONDES,BONDES D,BONOS,UDIBONOS,?CETES,?BONDES,?BONDES D,?BONOS,?UDIBONOS
Ene 1985,"994,601.00",0.00,0.00,0.00,0.00,,,,,
Feb 1985,"1,023,907.00",0.00,0.00,0.00,0.00,2.95,0.00,0.00,0.00,0.00
Mar 1985,"1,195,681.00",0.00,0.00,0.00,0.00,16.78,0.00,0.00,0.00,0.00
Abr 1985,"1,521,570.00",0.00,0.00,0.00,0.00,27.26,0.00,0.00,0.00,0.00
May 1985,"1,629,470.00",0.00,0.00,0.00,0.00,7.09,0.00,0.00,0.00,0.00
Jun 1985,"1,701,706.00",0.00,0.00,0.00,0.00,4.43,0.00,0.00,0.00,0.00
Jul 1985,"1,798,938.00",0.00,0.00,0.00,0.00,5.71,0.00,0.00,0.00,0.00
Ago 1985,"2,252,509.00",0.00,0.00,0.00,0.00,25.21,0.00,0.00,0.00,0.00
Sep 1985,"2,726,680.00",0.00,0.00,0.00,0.00,21.05,0.00,0.00,0.00,0.00
Oct 1985,"2,854,695.00",0.00,0.00,0.00,0.00,4.69,0.00,0.00,0.00,0.00
Nov 1985,"2,708,537.00",0.00,0.00,0.00,0.00,-5.12,0.00,0.00,0.00,0.00
Dic 1985,"2,360,320.00",0.00,0.00,0.00,0.00,-12.86,0.00,0.00,0.00,0.00
Ene 1986,"2,487,288.13",0.00,0.00,0.00,0.00,5.38,0.00,0.00,0.00,0.00
Feb 1986,"2,588,965.00",0.00,0.00,0.00,0.00,4.09,0.00,0.00,0.00,0.00
Mar 1986,"2,875,404.00",0.00,0.00,0.00,0.00,11.06,0.00,0.00,0.00,0.00
Abr 1986,"3,656,110.00",0.00,0.00,0.00,0.00,27.15,0.00,0.00,0.00,0.00
May 1986,"4,131,567.00",0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00
Jun 1986,"4,222,903.00",0.00,0.00,0.00,0.00,2.21,0.00,0.00,0.00,0.00
Jul 1986,"4,734,053.00",0.00,0.00,0.00,0.00,12.10,0.00,0.00,0.00,0.00
Ago 1986,"5,248,505.00",0.00,0.00,0.00,0.00,10.87,0.00,0.00,0.00,0.00
Sep 1986,"6,086,889.00",0.00,0.00,0.00,0.00,15.97,0.00,0.00,0.00,0.00
Oct 1986,"6,769,400.00",0.00,0.00,0.00,0.00,11.21,0.00,0.00,0.00,0.00
Nov 1986,"7,613,900.00",0.00,0.00,0.00,0.00,12.48,0.00,0.00,0.00,0.00
Dic 1986,"8,184,700.00",0.00,0.00,0.00,0.00,7.50,0.00,0.00,0.00,0.00
Ene 1987,"9,494,200.00",0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,0.00
Feb 1987,"10,810,300.00",0.00,0.00,0.00,0.00,13.86,0.00,0.00,0.00,0.00
Mar 1987,"11,819,800.00",0.00,0.00,0.00,0.00,9.34,0.00,0.00,0.00,0.00
Abr 1987,"13,003,400.00",0.00,0.00,0.00,0.00,10.01,0.00,0.00,0.00,0.00
May 1987,"14,362,000.00",0.00,0.00,0.00,0.00,10.45,0.00,0.00,0.00,0.00
Jun 1987,"16,062,100.00",0.00,0.00,0.00,0.00,11.84,0.00,0.00,0.00,0.00
Jul 1987,"17,899,403.00",0.00,0.00,0.00,0.00,11.44,0.00,0.00,0.00,0.00
Ago 1987,"19,784,300.00",0.00,0.00,0.00,0.00,10.53,0.00,0.00,0.00,0.00
Sep 1987,"21,172,600.00",0.00,0.00,0.00,0.00,7.02,0.00,0.00,0.00,0.00
Oct 1987,"21,658,200.00","149,057.00",0.00,0.00,0.00,2.29,0.00,0.00,0.00,0.00
Nov 1987,"23,482,908.00","337,097.00",0.00,0.00,0.00,8.43,126.15,0.00,0.00,0.00
Dic 1987,"28,005,508.00","358,493.50",0.00,0.00,0.00,19.26,6.35,0.00,0.00,0.00
Ene 1988,"28,188,608.00","561,090.90",0.00,0.00,0.00,0.65,56.51,0.00,0.00,0.00
Feb 1988,"31,001,408.00","998,460.00",0.00,0.00,0.00,9.98,77.95,0.00,0.00,0.00
Mar 1988,"33,987,508.00","2,166,960.00",0.00,0.00,0.00,9.63,117.03,0.00,0.00,0.00
Abr 1988,"37,224,248.00","3,024,785.59",0.00,0.00,0.00,9.52,39.59,0.00,0.00,0.00
May 1988,"36,726,130.00","4,964,822.13",0.00,0.00,0.00,-1.34,64.14,0.00,0.00,0.00
Jun 1988,"37,129,767.00","6,476,894.00",0.00,0.00,0.00,1.10,30.46,0.00,0.00,0.00
Jul 1988,"37,432,471.00","6,816,437.00",0.00,0.00,0.00,0.82,5.24,0.00,0.00,0.00
Ago 1988,"39,467,468.00","7,352,775.00",0.00,0.00,0.00,5.44,7.87,0.00,0.00,0.00
Sep 1988,"39,561,395.00","8,715,677.00",0.00,0.00,0.00,0.24,18.54,0.00,0.00,0.00
Oct 1988,"38,548,345.00","11,552,964.00",0.00,0.00,0.00,-2.56,32.55,0.00,0.00,0.00
Nov 1988,"47,946,147.00","14,421,147.00",0.00,0.00,0.00,24.38,24.83,0.00,0.00,0.00
Dic 1988,"42,877,671.00","20,185,738.00",0.00,0.00,0.00,-10.57,39.97,0.00,0.00,0.00
Ene 1989,"43,491,354.00","25,147,626.00",0.00,0.00,0.00,1.43,24.58,0.00,0.00,0.00
Feb 1989,"44,216,816.00","28,937,904.00",0.00,0.00,0.00,1.67,15.07,0.00,0.00,0.00
Mar 1989,"54,046,530.00","32,147,360.00",0.00,0.00,0.00,22.23,11.09,0.00,0.00,0.00
Abr 1989,"58,459,568.00","35,151,975.00",0.00,0.00,0.00,8.17,9.35,0.00,0.00,0.00
May 1989,"51,582,949.00","41,567,568.00",0.00,0.00,0.00,-11.76,18.25,0.00,0.00,0.00
Jun 1989,"46,178,728.00","50,993,947.00",0.00,0.00,0.00,-10.48,22.68,0.00,0.00,0.00
Jul 1989,"45,303,186.00","56,729,696.00",0.00,0.00,0.00,-1.90,11.25,0.00,0.00,0.00
Ago 1989,"43,715,149.00","59,709,815.00",0.00,0.00,0.00,-3.51,5.25,0.00,0.00,0.00
Sep 1989,"43,068,525.00","61,120,175.00",0.00,0.00,0.00,-1.48,2.36,0.00,0.00,0.00
Oct 1989,"45,703,966.00","60,608,654.00",0.00,0.00,0.00,6.12,-0.84,0.00,0.00,0.00
Nov 1989,"46,711,031.00","57,959,226.00",0.00,0.00,0.00,2.20,-4.37,0.00,0.00,0.00
Dic 1989,"54,353,073.00","55,676,626.00",0.00,0.00,0.00,16.36,-3.94,0.00,0.00,0.00
Ene 1990,"61,074,059.00","54,929,195.00",0.00,0.00,0.00,12.37,-1.34,0.00,0.00,0.00
Feb 1990,"65,256,237.00","54,558,345.00",0.00,0.00,0.00,6.85,-0.68,0.00,0.00,0.00
Mar 1990,"72,103,943.00","54,591,165.00",0.00,0.00,0.00,10.49,0.06,0.00,0.00,0.00
Abr 1990,"67,707,995.00","56,058,562.00",0.00,0.00,0.00,-6.10,2.69,0.00,0.00,0.00
May 1990,"70,047,064.00","56,729,842.00",0.00,0.00,0.00,3.45,1.20,0.00,0.00,0.00
Jun 1990,"72,770,641.00","57,088,660.00",0.00,0.00,0.00,3.89,0.63,0.00,0.00,0.00
Jul 1990,"75,691,339.00","57,679,702.00",0.00,0.00,0.00,4.01,1.04,0.00,0.00,0.00
Ago 1990,"76,959,919.00","56,525,548.00",0.00,0.00,0.00,1.68,-2.00,0.00,0.00,0.00
Sep 1990,"73,070,840.00","57,261,983.00",0.00,0.00,0.00,-5.05,1.30,0.00,0.00,0.00
Oct 1990,"68,956,464.00","59,062,809.00",0.00,0.00,0.00,-5.63,3.14,0.00,0.00,0.00
Nov 1990,"67,837,054.00","63,073,653.00",0.00,0.00,0.00,-1.62,6.79,0.00,0.00,0.00
Dic 1990,"72,000,995.00","64,513,140.00",0.00,0.00,0.00,6.14,2.28,0.00,0.00,0.00
Ene 1991,"70,359,417.00","65,302,938.00",0.00,0.00,0.00,-2.28,1.22,0.00,0.00,0.00
Feb 1991,"71,173,655.00","64,978,263.00",0.00,0.00,0.00,1.16,-0.50,0.00,0.00,0.00
Mar 1991,"70,083,386.00","63,789,513.00",0.00,0.00,0.00,-1.53,-1.83,0.00,0.00,0.00
Abr 1991,"72,123,644.00","62,197,126.00",0.00,0.00,0.00,2.91,-2.50,0.00,0.00,0.00
May 1991,"76,338,309.00","55,861,199.00",0.00,0.00,0.00,5.84,-10.19,0.00,0.00,0.00
Jun 1991,"78,908,270.00","50,943,428.00",0.00,0.00,0.00,3.37,-8.80,0.00,0.00,0.00
Jul 1991,"83,936,385.00","47,682,440.00",0.00,0.00,0.00,6.37,-6.40,0.00,0.00,0.00
Ago 1991,"84,451,780.00","45,040,437.00",0.00,0.00,0.00,0.61,-5.54,0.00,0.00,0.00
Sep 1991,"80,324,794.00","51,503,672.00",0.00,0.00,0.00,-4.89,14.35,0.00,0.00,0.00
Oct 1991,"60,044,042.00","58,561,707.00",0.00,0.00,0.00,-25.25,13.70,0.00,0.00,0.00
Nov 1991,"63,483,698.00","58,279,218.00",0.00,0.00,0.00,5.73,-0.48,0.00,0.00,0.00
Dic 1991,"72,658,106.00","57,978,531.00",0.00,0.00,0.00,14.45,-0.52,0.00,0.00,0.00
Ene 1992,"68,481,188.00","58,742,129.00",0.00,0.00,0.00,-5.75,1.32,0.00,0.00,0.00
Feb 1992,"66,662,240.00","58,588,862.00",0.00,0.00,0.00,-2.66,-0.26,0.00,0.00,0.00
Mar 1992,"51,835,792.00","57,905,122.00",0.00,0.00,0.00,-22.24,-1.17,0.00,0.00,0.00
Abr 1992,"52,859,792.00","51,469,160.00",0.00,0.00,0.00,1.98,-11.11,0.00,0.00,0.00
May 1992,"57,031,930.00","43,415,638.00",0.00,0.00,0.00,7.89,-15.65,0.00,0.00,0.00
Jun 1992,"60,525,154.00","40,159,607.00",0.00,0.00,0.00,6.13,-7.50,0.00,0.00,0.00
Jul 1992,"67,893,299.00","32,878,190.00",0.00,0.00,0.00,12.17,-18.13,0.00,0.00,0.00
Ago 1992,"66,519,402.00","29,918,517.00",0.00,0.00,0.00,-2.02,-9.00,0.00,0.00,0.00
Sep 1992,"60,020,532.00","29,102,495.00",0.00,0.00,0.00,-9.77,-2.73,0.00,0.00,0.00
Oct 1992,"56,469,819.00","32,659,402.00",0.00,0.00,0.00,-5.92,12.22,0.00,0.00,0.00
Nov 1992,"53,862,613.00","36,191,086.00",0.00,0.00,0.00,-4.62,10.81,0.00,0.00,0.00
Dic 1992,"59,338,167.00","36,847,481.00",0.00,0.00,0.00,10.17,1.81,0.00,0.00,0.00
Ene 1993,"54,557,346.00","38,589,910.00",0.00,0.00,0.00,-8.06,4.73,0.00,0.00,0.00
Feb 1993,"51,173,394.00","38,584,168.00",0.00,0.00,0.00,-6.20,-0.01,0.00,0.00,0.00
Mar 1993,"54,355,904.00","37,444,528.00",0.00,0.00,0.00,6.22,-2.95,0.00,0.00,0.00
Abr 1993,"51,206,932.00","36,990,937.00",0.00,0.00,0.00,-5.79,-1.21,0.00,0.00,0.00
May 1993,"49,652,661.00","35,547,995.00",0.00,0.00,0.00,-3.04,-3.90,0.00,0.00,0.00
Jun 1993,"51,321,009.00","36,166,249.00",0.00,0.00,0.00,3.36,1.74,0.00,0.00,0.00
Jul 1993,"54,899,246.00","36,161,757.50",0.00,0.00,0.00,6.97,-0.01,0.00,0.00,0.00
Ago 1993,"57,589,925.00","34,216,863.00",0.00,0.00,0.00,4.90,-5.38,0.00,0.00,0.00
Sep 1993,"60,403,967.00","31,473,789.00",0.00,0.00,0.00,4.89,-8.02,0.00,0.00,0.00
Oct 1993,"64,198,494.00","26,088,221.25",0.00,0.00,0.00,6.28,-17.11,0.00,0.00,0.00
Nov 1993,"69,716,814.00","20,301,797.00",0.00,0.00,0.00,8.60,-22.18,0.00,0.00,0.00
