FECHA ,TASA DE INTERêS DE REFERENCIA,FECHA,TASA DE RENDIMIENTO CETES 28 D÷AS,FECHA,TASA DE RENDIMIENTO CETES 1 A•O,FECHA,TASA DE RENDIMIENTO BONOS TF 3 A•OS,FECHA ,TASA DE RENDIMIENTO BONOS TF 5 A•OS,FECHA,TASA DE RENDIMIENTO BONOS TF 10 A•OS
21/01/2008,7.5000,02/09/1982,53.32,15/11/1990,24.41,27/01/2000,17.70,25/05/2000,17.40,26/07/2001,10.90
22/01/2008,7.5000,09/09/1982,0.00,22/11/1990,25.02,03/02/2000,0.00,01/06/2000,0.00,02/08/2001,0.00
23/01/2008,7.5000,15/09/1982,0.00,29/11/1990,24.69,10/02/2000,0.00,08/06/2000,0.00,09/08/2001,0.00
24/01/2008,7.5000,23/09/1982,0.00,06/12/1990,25.64,17/02/2000,0.00,15/06/2000,0.00,16/08/2001,0.00
25/01/2008,7.5000,30/09/1982,0.00,13/12/1990,25.37,24/02/2000,15.95,22/06/2000,0.00,23/08/2001,0.00
28/01/2008,7.5000,07/10/1982,40.18,20/12/1990,25.01,02/03/2000,0.00,29/06/2000,0.00,30/08/2001,0.00
29/01/2008,7.5000,14/10/1982,35.07,27/12/1990,24.51,09/03/2000,0.00,06/07/2000,0.00,06/09/2001,0.00
30/01/2008,7.5000,21/10/1982,33.43,03/01/1991,24.26,16/03/2000,0.00,13/07/2000,0.00,13/09/2001,0.00
31/01/2008,7.5000,28/10/1982,0.00,10/01/1991,24.26,23/03/2000,14.94,20/07/2000,0.00,20/09/2001,0.00
01/02/2008,7.5000,04/11/1982,37.42,17/01/1991,24.69,30/03/2000,0.00,27/07/2000,0.00,27/09/2001,0.00
05/02/2008,7.5000,11/11/1982,40.54,24/01/1991,0.00,06/04/2000,0.00,03/08/2000,0.00,04/10/2001,0.00
06/02/2008,7.5000,18/11/1982,0.00,31/01/1991,25.24,13/04/2000,0.00,10/08/2000,0.00,11/10/2001,0.00
07/02/2008,7.5000,25/11/1982,0.00,07/02/1991,0.00,19/04/2000,15.95,17/08/2000,14.85,18/10/2001,11.09
08/02/2008,7.5000,02/12/1982,0.00,14/02/1991,24.69,27/04/2000,0.00,24/08/2000,0.00,25/10/2001,0.00
11/02/2008,7.5000,09/12/1982,45.75,21/02/1991,0.00,04/05/2000,0.00,31/08/2000,0.00,01/11/2001,0.00
12/02/2008,7.5000,16/12/1982,48.44,28/02/1991,24.10,11/05/2000,0.00,07/09/2000,0.00,08/11/2001,0.00
13/02/2008,7.5000,23/12/1982,51.60,07/03/1991,0.00,18/05/2000,16.90,14/09/2000,0.00,15/11/2001,0.00
14/02/2008,7.5000,30/12/1982,50.62,14/03/1991,22.83,25/05/2000,0.00,21/09/2000,0.00,22/11/2001,0.00
15/02/2008,7.5000,06/01/1983,52.74,20/03/1991,0.00,01/06/2000,0.00,28/09/2000,15.15,29/11/2001,0.00
18/02/2008,7.5000,13/01/1983,53.50,27/03/1991,23.00,08/06/2000,0.00,05/10/2000,0.00,06/12/2001,0.00
19/02/2008,7.5000,20/01/1983,55.34,01/04/1991,0.00,15/06/2000,16.10,12/10/2000,0.00,13/12/2001,10.28
20/02/2008,7.5000,27/01/1983,0.00,11/04/1991,21.95,22/06/2000,0.00,19/10/2000,0.00,20/12/2001,0.00
21/02/2008,7.5000,03/02/1983,56.92,18/04/1991,0.00,29/06/2000,0.00,26/10/2000,15.44,27/12/2001,0.00
22/02/2008,7.5000,10/02/1983,56.85,25/04/1991,21.90,06/07/2000,0.00,01/11/2000,0.00,03/01/2002,0.00
25/02/2008,7.5000,17/02/1983,56.99,02/05/1991,22.00,13/07/2000,14.95,09/11/2000,0.00,10/01/2002,9.98
