TRIMESTRE,INTERES NOMINAL ANUAL,INFLACION TRIMESTRAL ,INTERES TRIMESTRAL,INTERES REAL TRIMESTRAL,,,,,,,,,,,,,,,,,,,,,,TRIMESTRE,crec tasa ,CREC INVERSION
1980/01,19.81615385,5.73959473,4.954038462,-0.785556268,,,,,,,,,,,,,,,,,,,,,,1980/01,-0.785556268,0.017452285
1980/02,22.18615385,6.540717531,5.546538462,-0.994179069,,,,,,,,,,,,,,,,,,,,,,1980/02,-0.193056268,0.024426038
1980/03,21.91384615,5.064070097,5.478461538,0.414391441,,,,,,,,,,,,,,,,,,,,,,1980/03,-1.062255993,0.024522426
1980/04,26.12230769,8.106963325,6.530576923,-1.576386402,,,,,,,,,,,,,,,,,,,,,,1980/04,1.466506826,0.00745554
1981/01,28.80846154,6.080978384,7.202115385,1.121137001,,,,,,,,,,,,,,,,,,,,,,1981/01,-0.90484794,0.015672055
1981/02,28.30307692,5.28658668,7.075769231,1.789182551,,,,,,,,,,,,,,,,,,,,,,1981/02,0.994790847,0.024011891
1981/03,32.63384615,6.464859857,8.158461538,1.693601681,,,,,,,,,,,,,,,,,,,,,,1981/03,2.871874858,0.006484896
1981/04,33.52928571,11.6827887,8.382321429,-3.300467272,,,,,,,,,,,,,,,,,,,,,,1981/04,1.917461572,-0.001735358
1982/01,35.16666667,15.26708225,8.791666667,-6.475415583,,,,,,,,,,,,,,,,,,,,,,1982/01,-2.891122034,-0.013311793
1982/02,43.24,20.84847458,10.81,-10.03847458,,,,,,,,,,,,,,,,,,,,,,1982/02,-4.45708225,-0.030485667
1982/03,53.00928571,20.58667334,13.25232143,-7.334351908,,,,,,,,,,,,,,,,,,,,,,1982/03,-7.596153146,-0.010227555
1982/04,51.38846154,26.72066613,12.84711538,-13.87355075,,,,,,,,,,,,,,,,,,,,,,1982/04,-7.739557958,-0.015976898
1983/01,62.26538462,16.26740364,15.56634615,-0.701057491,,,,,,,,,,,,,,,,,,,,,,1983/01,-11.15431998,-0.001911198
1983/02,63.01615385,13.03679796,15.75403846,2.717240505,,,,,,,,,,,,,,,,,,,,,,1983/02,-0.513365181,7.51E-05
1983/03,58.43461538,12.52264575,14.60865385,2.086008103,,,,,,,,,,,,,,,,,,,,,,1983/03,1.571855895,0.005174362
